,Accepts Credit Cards,Alcohol,Bike Parking,Category,Caters,Delivery,Gender Neutral Restrooms,Good For,Good for Groups,Good for Kids,Happy Hour,Has Gluten-free Options,Has Soy-free Options,Has TV,Hygiene_score,Liked by Vegans,Liked by Vegetarians,Noise Level,Outdoor Seating,Parking,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,price_range,restaurant_name,restaurant_neighobrhood,restaurant_rating,restaurant_reviewcount
95,Yes,Full Bar,Yes,Traditional American,Yes,Yes,Yes,"Dinner, Late Night",Yes,No,,,,Yes,B,,Yes,Average,Yes,Street,Yes,No,,,Free,$11-30,The Heights Bar & Grill,Morningside Heights,3,315
96,Yes,,,Burgers,,No,,,No,No,Yes,,,Yes,A,,Yes,,,,Yes,No,,,Free,,Dive 106,Manhattan Valley,4.5,22
97,Yes,,,Spanish,,Yes,,,Yes,Yes,Yes,Yes,,,,,,,Yes,,Yes,No,,,,$11-30,Infamous Chicken,Manhattan Valley,4,36
99,Yes,Beer & Wine Only,Yes,Italian,Yes,Yes,Yes,Dinner,Yes,Yes,,,,No,A,,,Average,No,Street,Yes,No,Yes,,No,$11-30,Sottocasa Pizzeria - Harlem,Harlem,4.5,195
100,Yes,Beer & Wine Only,Yes,Japanese,Yes,Yes,Yes,Dinner,Yes,Yes,,,,No,A,,Yes,Average,No,Street,Yes,Yes,Yes,,No,$11-30,Sun-Chan Japanese Restaurant,Manhattan Valley,3.5,194
101,Yes,Full Bar,Yes,Bar,Yes,Yes,,Dinner,Yes,Yes,,,,Yes,A,Yes,,Average,No,Street,Yes,Yes,,,Free,$11-30,Pio Pio 6,Upper West Side,3.5,691
105,Yes,Beer & Wine Only,Yes,Delis,Yes,Yes,,Lunch,No,Yes,,,,No,,,,Average,No,Street,Yes,No,No,,No,$11-30,Milano Market,Morningside Heights,3.5,200
106,Yes,No,Yes,Caf¨¦,No,No,,,Yes,No,,,,No,A,,,Average,No,,Yes,No,No,,Free,Under $10,Nous Espresso Grad School Cafe,Morningside Heights,4,14
107,Yes,No,No,Seafood; ,No,No,,"Lunch, Dinner",No,No,,,,No,A,,,Average,No,Street,Yes,No,No,,No,$11-30,El Puerto Seafood,Harlem,4,71
109,Yes,Beer & Wine Only,Yes,Desserts,No,Yes,Yes,"Breakfast, Brunch",Yes,Yes,,,,No,A,,Yes,Average,No,Street,Yes,Yes,,,No,$11-30,Kitchenette Uptown,Morningside Heights,3.5,695
112,,,,Chinese,,Yes,,,,Yes,,,,,,,,,,,Yes,,,,,,Grain House,Manhattan Valley,4,35
113,Yes,No,Yes,African,,Yes,,"Lunch, Dinner",Yes,Yes,,,,Yes,A,,,Average,No,,Yes,Yes,Yes,Yes,No,$11-30,La Savane,Harlem,4.5,62
114,Yes,Full Bar,Yes,Seafood,Yes,No,,"Brunch, Lunch, Dinner",Yes,Yes,,,,No,A,,Yes,Average,Yes,Street,Yes,Yes,Yes,,No,$11-30,Sylvia's Restaurant,Harlem,3.5,1569
115,,,,Korean,,,,,,,,,,,,,,,,,,,,,,,Manna Korean Food,Morningside Heights,5,1
116,Yes,Full Bar,No,Spanish,Yes,No,Yes,Dinner,Yes,No,Yes,,,No,A,,,Loud,Yes,Street,Yes,,,,No,$31-60,Buceo 95,Upper West Side,4,397
